location,gcc,location_x
abbotsbury,1gsyd,abbotsbury syd
abbotsford nsw,1gsyd,abbotsford nsw syd
acacia gardens,1gsyd,acacia gardens syd
agnes banks,1gsyd,agnes banks syd
airds,1gsyd,airds syd
alexandria,1gsyd,alexandria syd
alfords point,1gsyd,alfords point syd
alison central coast nsw,1gsyd,alison central coast nsw syd
allambie heights,1gsyd,allambie heights syd
allawah,1gsyd,allawah syd
ambarvale,1gsyd,ambarvale syd
angus,1gsyd,angus syd
annandale nsw,1gsyd,annandale nsw syd
annangrove,1gsyd,annangrove syd
appin nsw,1gsyd,appin nsw syd
arcadia nsw,1gsyd,arcadia nsw syd
arncliffe,1gsyd,arncliffe syd
arndell park,1gsyd,arndell park syd
artarmon,1gsyd,artarmon syd
ashbury,1gsyd,ashbury syd
ashcroft,1gsyd,ashcroft syd
ashfield nsw,1gsyd,ashfield nsw syd
asquith,1gsyd,asquith syd
auburn nsw,1gsyd,auburn nsw syd
austral,1gsyd,austral syd
avalon beach,1gsyd,avalon beach syd
avoca beach,1gsyd,avoca beach syd
badgerys creek,1gsyd,badgerys creek syd
balgowlah,1gsyd,balgowlah syd
balgowlah heights,1gsyd,balgowlah heights syd
balmain,1gsyd,balmain syd
balmain east,1gsyd,balmain east syd
bangor nsw,1gsyd,bangor nsw syd
banksia,1gsyd,banksia syd
banksmeadow,1gsyd,banksmeadow syd
bankstown,1gsyd,bankstown syd
bankstown aerodrome,1gsyd,bankstown aerodrome syd
bar point,1gsyd,bar point syd
barangaroo,1gsyd,barangaroo syd
barden ridge,1gsyd,barden ridge syd
bardia,1gsyd,bardia syd
bardwell park,1gsyd,bardwell park syd
bardwell valley,1gsyd,bardwell valley syd
bargo,1gsyd,bargo syd
bass hill,1gsyd,bass hill syd
bateau bay,1gsyd,bateau bay syd
baulkham hills,1gsyd,baulkham hills syd
bayview nsw,1gsyd,bayview nsw syd
beacon hill,1gsyd,beacon hill syd
beaconsfield nsw,1gsyd,beaconsfield nsw syd
beaumont hills,1gsyd,beaumont hills syd
beecroft,1gsyd,beecroft syd
belfield,1gsyd,belfield syd
belimbla park,1gsyd,belimbla park syd
bella vista,1gsyd,bella vista syd
bellevue hill,1gsyd,bellevue hill syd
belmore,1gsyd,belmore syd
belrose,1gsyd,belrose syd
bensville,1gsyd,bensville syd
berala,1gsyd,berala syd
berambing,1gsyd,berambing syd
berkeley vale,1gsyd,berkeley vale syd
berkshire park,1gsyd,berkshire park syd
berowra,1gsyd,berowra syd
berowra heights,1gsyd,berowra heights syd
berowra waters,1gsyd,berowra waters syd
berrilee,1gsyd,berrilee syd
