,_id,author,location
100,1412192485812555778,156677140,"Sydney, New South Wales"
101,1412192549398192129,16005515,"Sydney, New South Wales"
102,1412192556331397121,19489002,"Sydney, New South Wales"
103,1412192563826593800,1067776947986423808,"Sydney, New South Wales"
104,1412192568746541058,23052065,"Sydney, New South Wales"
105,1412192743128924162,1177496278885793792,"Sydney, New South Wales"
106,1412192919700729858,156677140,"Sydney, New South Wales"
107,1412193267677077506,138726906,"Sydney, New South Wales"
108,1412193311918460932,22550080,"Sydney, New South Wales"
109,1412193414506897408,7050962,"Sydney, New South Wales"
110,1412193627510611968,1364439607765442567,"Sydney, New South Wales"
111,1412193719428648964,384233102,"Sydney, New South Wales"
112,1412193838437830676,540600425,"Sydney, New South Wales"
113,1412193920960712706,758965228050616320,"Sydney, New South Wales"
114,1412193926438522882,159712380,"Sydney, New South Wales"
115,1412193958306869250,25799938,"Sydney, New South Wales"
116,1412193971216928768,7050962,"Sydney, New South Wales"
117,1412194031195594762,4648031797,"Sydney, New South Wales"
118,1412194038430633991,384233102,"Sydney, New South Wales"
119,1412194114649550850,363020711,"Sydney, New South Wales"
120,1412194328940711943,7050962,"Sydney, New South Wales"
121,1412194416610070530,1254694244989591552,"Sydney, New South Wales"
122,1412194417985822720,20522796,"Sydney, New South Wales"
123,1412194454543368192,363020711,"Sydney, New South Wales"
124,1412194592057819141,1052354553750814720,"Sydney, New South Wales"
125,1412194597892243458,4648031797,"Sydney, New South Wales"
126,1412194658843729921,384233102,"Sydney, New South Wales"
127,1412194699461361664,20522796,"Sydney, New South Wales"
128,1412194762862383104,363020711,"Sydney, New South Wales"
129,1412194884144963585,758965228050616320,"Sydney, New South Wales"
130,1412194926339624961,7050962,"Sydney, New South Wales"
131,1412194978806124545,25287056,"Sydney, New South Wales"
132,1412195037983608839,1089023364973219840,"Sydney, New South Wales"
133,1412195068954349570,1052354553750814720,"Sydney, New South Wales"
134,1412195088491417615,156677140,"Sydney, New South Wales"
135,1412195089594523648,1647275468,"Sydney, New South Wales"
136,1412195141754884104,707774180612112385,"Sydney, New South Wales"
137,1412195157303304193,1247340524446482432,"Sydney, New South Wales"
138,1412195202597457936,384233102,"Sydney, New South Wales"
139,1412195239469613059,7050962,"Sydney, New South Wales"
140,1412195278422114305,337351696,"Sydney, New South Wales"
