,tweet_id,author_id,location,gcc
0,1414015843302846469,72475555,australia,
1,1414029480968921095,929308119645040640,australia,
2,1414029719197028354,929308119645040640,australia,
3,1414030122223431683,929308119645040640,australia,
4,1414090529386553346,3024513774,australia,
5,1414139267404664832,1351143227919912966,australia,
6,1414143032069296128,457194729,australia,
7,1414147495781863424,22105502,australia,
8,1414165374908596243,1092955465015652355,australia,
9,1414170530576355329,890111468875677697,australia,
10,1414188103988772866,1134126444060168192,australia,
11,1414229432466763777,929308119645040640,australia,
12,1414263583395905538,890111468875677697,australia,
13,1414318071573925890,4825706423,australia,
14,1414350159299764235,1062396452314406912,australia,
15,1414351300494508036,22105502,australia,
16,1414358538881617922,836119507173154816,australia,
17,1414362143944675329,727028347214028800,australia,
18,1414040417553641472,591736735,australia,
19,1414014403985346560,589869900,australia,
20,1414026120278667269,591736735,australia,
21,1414039143282208772,484694113,australia,
22,1414042420925239299,484694113,australia,
23,1414349543798312960,1290459144521224194,australia,
24,1414349811747151873,1290459144521224194,australia,
28,1414016761020571648,49545547,nsw australia,
31,1414018542769369088,913804015,nsw australia,
33,1414019688175083521,282854342,nsw australia,
35,1414020912563720196,1158755742,nsw australia,
37,1414021458775318528,1158755742,nsw australia,
39,1414021847536979968,1158755742,nsw australia,
41,1414023518598041604,1133678955884666880,nsw australia,
42,1414025059027410953,913804015,nsw australia,
45,1414026980849119233,294907841,nsw australia,
46,1414027554550259714,282854342,nsw australia,
47,1414027878035980292,1207249294106877952,nsw australia,
51,1414029128332808197,2748779875,nsw australia,
52,1414029536979689480,282854342,nsw australia,
59,1414033680046063618,282854342,nsw australia,
61,1414034533888921605,282854342,nsw australia,
64,1414035345675415555,282854342,nsw australia,
66,1414036670995857410,89570289,nsw australia,
67,1414038254421045251,38415875,nsw australia,
68,1414039816287571973,829248815005827073,nsw australia,
70,1414040742914236418,122928061,nsw australia,
71,1414041613173542913,122928061,nsw australia,
73,1414042029777047557,122928061,nsw australia,
74,1414042234656149509,122928061,nsw australia,
75,1414042390889865218,377314216,nsw australia,
76,1414042412134002689,3818993052,nsw australia,
77,1414042522939133953,282854342,nsw australia,
78,1414042753403473924,377314216,nsw australia,
79,1414043127627718660,3818993052,nsw australia,
82,1414044709794635776,1549721120,nsw australia,
89,1414049087473684481,282854342,nsw australia,
97,1414052671829340163,3818993052,nsw australia,
98,1414053242783162375,282854342,nsw australia,
99,1414053398031200261,377155422,nsw australia,
101,1414053533322596358,282854342,nsw australia,
104,1414055806304079878,1599628280,nsw australia,
107,1414058850496352262,226790865,nsw australia,
110,1414060988437995520,1116987419927044096,nsw australia,
113,1414061855291580420,3031413449,nsw australia,
115,1414062077103132674,3031413449,nsw australia,
116,1414063218683564036,122928061,nsw australia,
118,1414063550528573442,1394564030543454209,nsw australia,
119,1414063979182190594,1599628280,nsw australia,
120,1414064140788715520,1599628280,nsw australia,
122,1414065980720906241,2347369495,nsw australia,
128,1414071044231421959,282854342,nsw australia,
131,1414071256786169856,282854342,nsw australia,
132,1414072006811684869,3237408825,nsw australia,
135,1414072977965019138,38415875,nsw australia,
136,1414073235042312193,3050420276,nsw australia,
137,1414073480497172483,3050420276,nsw australia,
138,1414074062020616194,3050420276,nsw australia,
139,1414075603980996608,38415875,nsw australia,
143,1414079546932924416,1158755742,nsw australia,
144,1414079749220016129,308668658,nsw australia,
145,1414081401754767362,377314216,nsw australia,
147,1414083414802587655,377314216,nsw australia,
148,1414083481198481408,1409402999571582982,nsw australia,
149,1414085344945868803,1177176396189159425,nsw australia,
150,1414085986582110208,1177176396189159425,nsw australia,
151,1414086144153636865,1158755742,nsw australia,
154,1414087878435479555,282854342,nsw australia,
155,1414090355905990658,1177176396189159425,nsw australia,
156,1414090664640335875,330144182,nsw australia,
159,1414093798645243910,282854342,nsw australia,
160,1414094104821075978,330144182,nsw australia,
161,1414094299394805760,829248815005827073,nsw australia,
163,1414095124074614785,282854342,nsw australia,
165,1414095352379043840,558259110,nsw australia,
170,1414097366311788544,282854342,nsw australia,
173,1414099244550541317,513794929,nsw australia,
180,1414106859850506242,3188491429,nsw australia,
183,1414108230037295104,1008296232261783552,nsw australia,
184,1414108494907666437,461868762,nsw australia,
185,1414108843882156034,1008296232261783552,nsw australia,
189,1414111481260437510,40677524,nsw australia,
191,1414111867996233728,24113,nsw australia,
192,1414112241624903680,2987998513,nsw australia,
194,1414112805754589184,24113,nsw australia,
197,1414114725844066308,24113,nsw australia,
198,1414115241110040578,24113,nsw australia,
199,1414115535852171264,24113,nsw australia,
200,1414115820855205890,24113,nsw australia,
202,1414116850691035139,1286870126,nsw australia,
203,1414116901110771713,24113,nsw australia,
205,1414118195036704771,282854342,nsw australia,
206,1414118566706565127,282854342,nsw australia,
