,tweet_id,author_id,location,gcc
71408,1418726052617101313,790727936,tas australia,
71409,1418726103229759490,3701443213,tas australia,
71410,1418726886792843267,1005565193844191232,tas australia,
71411,1418727390881013761,2396932903,tas australia,
71412,1418738933442043912,2396932903,tas australia,
71413,1418741517011673090,3059148835,tas australia,
71414,1418744029341097985,1005565193844191232,tas australia,
71415,1418745137526566915,2396932903,tas australia,
71416,1418747351431204870,2396932903,tas australia,
71417,1418748811359375362,2396932903,tas australia,
71418,1418751290109095936,986277960,tas australia,
71419,1418751617092907008,986277960,tas australia,
71420,1418753720171466758,355838462,tas australia,
71421,1418780191057272832,328319883,tas australia,
71422,1418782117064962051,1648923450,tas australia,
71423,1418814390606962693,1648923450,tas australia,
71424,1418814748603207680,357971706,tas australia,
71425,1418829780145909762,1293028396016914433,tas australia,
71426,1418829838777978887,357971706,tas australia,
71427,1418833440888090624,1293028396016914433,tas australia,
71428,1418834609186295809,50572742,tas australia,
71429,1418835631040466944,3701443213,tas australia,
71430,1418836215856603139,3701443213,tas australia,
71431,1418838871610208259,1293028396016914433,tas australia,
71432,1418839936673976327,357971706,tas australia,
71433,1418850818179178498,357971706,tas australia,
71434,1418856560332349441,1648923450,tas australia,
71435,1418858015248289801,1648923450,tas australia,
71436,1418858974275854344,1648923450,tas australia,
71437,1418862952241827840,1648923450,tas australia,
71438,1418863212594876419,1648923450,tas australia,
71439,1418882917581864960,1648923450,tas australia,
71440,1418889338176344067,790727936,tas australia,
71442,1418899434558083074,1121591957485023232,tas australia,
71443,1418909413050626056,24174013,tas australia,
71444,1418924734218113025,1293028396016914433,tas australia,
71445,1418925248683122699,1293028396016914433,tas australia,
71446,1418926146700419079,1293028396016914433,tas australia,
71447,1418926869114720259,1293028396016914433,tas australia,
71448,1418977598961602575,355838462,tas australia,
71449,1418980906623176715,355838462,tas australia,
71450,1418985139841941505,355838462,tas australia,
71451,1418986019219808258,355838462,tas australia,
71452,1418986482262478851,355838462,tas australia,
71453,1418989109788434433,355838462,tas australia,
71454,1418992455374893056,355838462,tas australia,
71455,1418993516475162624,355838462,tas australia,
71456,1418994108199149568,355838462,tas australia,
71458,1419005156994084864,355838462,tas australia,
71459,1419032748006645761,1648923450,tas australia,
71460,1419035739468177408,1648923450,tas australia,
71461,1419036789096947719,1648923450,tas australia,
71462,1419037160917721088,1648923450,tas australia,
71463,1419038052328960002,1648923450,tas australia,
71464,1419038437857013769,1648923450,tas australia,
71465,1419039530695331840,1648923450,tas australia,
71466,1419041013725745157,1648923450,tas australia,
71467,1419051120933040128,3701443213,tas australia,
71468,1419052990137192462,2396932903,tas australia,
71469,1419056988734976006,2396932903,tas australia,
71470,1419060594519412737,357971706,tas australia,
71471,1419061071730540547,2396932903,tas australia,
71472,1419071722066571267,2396932903,tas australia,
71473,1419072767467479045,2396932903,tas australia,
71474,1419079574785118208,600018477,tas australia,
71476,1418748459885023236,986277960,tas australia,
71477,1418749342060449792,986277960,tas australia,
71479,1419052955940974593,3701443213,tas australia,
71480,1419059936449896451,2396932903,tas australia,
71681,1418748857991581696,130578523,nt australia,
71682,1418755498111762434,1215945336633602048,nt australia,
71683,1418813949856858115,1215945336633602048,nt australia,
71684,1418852867092402180,41559208,nt australia,
71685,1418857225116921864,1134202228493803520,nt australia,
71686,1418866871961538562,1215945336633602048,nt australia,
71687,1418887364232024067,4243616772,nt australia,
71688,1418889622004944899,32663355,nt australia,
71849,1418748546686222338,76902111,act australia,
71850,1418749243779555329,76902111,act australia,
71851,1418751156352782338,216226689,act australia,
71852,1418867825356296206,60044835,act australia,
72388,1419190511617798148,534947330,australia,
72389,1419194359166103552,3632637253,australia,
72390,1419209219866185736,16851670,australia,
72391,1419225940178079745,1302846339617681408,australia,
72392,1419227211450576899,1110123649833422848,australia,
72393,1419227683905359872,1110123649833422848,australia,
72394,1419256768752865284,2202762882,australia,
72395,1419265962663051265,1290459144521224194,australia,
72396,1419266623798603778,1418182766131175427,australia,
72397,1419324020428730376,890111468875677697,australia,
72398,1419352769203367936,1377617451085598721,australia,
72399,1419363910847766531,1307726290317914117,australia,
72400,1419373878283931650,1349321013717213184,australia,
72401,1419432183752626176,836119507173154816,australia,
72402,1419145901570883585,940868397528698880,australia,
72403,1419243129853530114,1230517597893992450,australia,
72404,1419186972329857025,1120514928824086528,australia,
72405,1419365378749239302,1285239497425399813,australia,
72406,1419408091175473153,16851670,australia,
72407,1419136572662849539,3031413449,nsw australia,
72408,1419410405483417601,1297794151509975040,nsw australia,
72409,1419435357637054471,990989558,central coast nsw,
72410,1419129573040529409,1572109928,nsw australia,
72412,1419085049018859522,990989558,central coast nsw,
72413,1419086525514485766,835809553589526530,central coast nsw,
72414,1419087308054175747,20954511,nsw australia,
72415,1419087357202944003,28888724,nsw australia,
72416,1419088054510186505,749376617042944000,central coast nsw,
72417,1419088157098745859,22614013,central coast nsw,
72418,1419088258726723584,617112227,central coast nsw,
72419,1419088799733219337,958993013702709249,central coast nsw,
72420,1419088883283763203,749376617042944000,central coast nsw,
72421,1419088910425022465,1003624135594074112,nsw australia,
72422,1419089262335594500,332725839,central coast nsw,
72423,1419089328651726851,749376617042944000,central coast nsw,
72424,1419089657120256001,932564837477085184,nsw australia,
72426,1419090278758031360,749376617042944000,central coast nsw,
72427,1419091012631236615,749376617042944000,central coast nsw,
72428,1419091042855395330,4894368151,central coast nsw,
72429,1419091378127065097,38415875,nsw australia,
72432,1419094630793027587,958993013702709249,central coast nsw,
72433,1419095365941305344,958993013702709249,central coast nsw,
72435,1419098605302935553,736413146,nsw australia,
72436,1419098648646807552,958993013702709249,central coast nsw,
72439,1419100148865585158,990989558,central coast nsw,
72440,1419100467603251212,1378483406992928769,nsw australia,
72441,1419100692493398019,294907841,nsw australia,
72442,1419101376701878274,294907841,nsw australia,
72444,1419102726911270913,984447324,nsw australia,
72445,1419102747563937794,1300348558537715713,central coast nsw,
72446,1419103023662465026,984447324,nsw australia,
72447,1419103579105755139,736413146,nsw australia,
72448,1419105282953682947,885067023121862657,nsw australia,
72449,1419105756033339395,18422043,nsw australia,
72450,1419106017728634884,304177721,nsw australia,
72451,1419107594635862019,1186072677032677376,nsw australia,
72453,1419108326860726273,1125022226,central coast nsw,
72456,1419110449849651201,20954511,nsw australia,
72457,1419110993230139394,229810092,blue mountains nsw,
72458,1419111587210690563,20954511,nsw australia,
72459,1419112008734048259,473696731,central coast nsw,
72460,1419112676911845377,49173205,central coast nsw,
72461,1419112861717078018,313176586,nsw australia,
72462,1419112865009586180,20954511,nsw australia,
72463,1419114030405341185,707004931,nsw australia,
72464,1419114765226369031,835809553589526530,central coast nsw,
72465,1419114879659565057,20954511,nsw australia,
72466,1419115250578862082,990989558,central coast nsw,
72467,1419115557320683520,441207483,blue mountains nsw,
72468,1419115822753058818,20954511,nsw australia,
72469,1419116173602418690,20954511,nsw australia,
72470,1419116353412206597,3031413449,nsw australia,
72471,1419116938135891969,15304375,nsw australia,
72472,1419117789306966018,15304375,nsw australia,
72473,1419118019956023296,260670351,central coast nsw,
72474,1419118640633323521,118538380,nsw australia,
72475,1419118944288317445,229810092,blue mountains nsw,
72476,1419119020037472263,1003624135594074112,nsw australia,
72477,1419119415002468355,1003624135594074112,nsw australia,
72478,1419119459042611205,229810092,blue mountains nsw,
72480,1419120199391858688,22732711,nsw australia,
72481,1419120887761051657,20109332,nsw australia,
72483,1419121597781213184,20954511,nsw australia,
72488,1419124678249963521,1158755742,nsw australia,
72489,1419124838002683904,20954511,nsw australia,
72490,1419124888195850246,707004931,nsw australia,
72491,1419125894841393153,20954511,nsw australia,
72492,1419126080103878658,1008296232261783552,nsw australia,
72493,1419126343715876869,1076276451471585280,central coast nsw,
72494,1419126666413023236,332725839,central coast nsw,
72495,1419126960190488582,519356365,central coast nsw,
72496,1419127154701332481,3031413449,nsw australia,
72497,1419127985571987458,20954511,nsw australia,
72498,1419128435335602177,3031413449,nsw australia,
72499,1419129272485105666,20954511,nsw australia,
72500,1419129757237534726,866131481646714880,blue mountains nsw,
72501,1419130280334430209,992866944,nsw australia,
72502,1419130350811422721,990989558,central coast nsw,
72506,1419130960092618757,1158755742,nsw australia,
72508,1419132528112275459,3031413449,nsw australia,
72510,1419134307679932416,710440424,nsw australia,
72512,1419134597397245955,377314216,nsw australia,
72513,1419134763953053696,473696731,central coast nsw,
72514,1419135210411622401,377314216,nsw australia,
72515,1419135952048451584,2987998513,nsw australia,
72516,1419136152607416323,377314216,nsw australia,
72517,1419136549032058882,866131481646714880,blue mountains nsw,
72518,1419136578341900288,28261687,nsw australia,
72519,1419136589343514629,377314216,nsw australia,
72520,1419136763549806594,3031413449,nsw australia,
72522,1419137527923970052,3031413449,nsw australia,
72523,1419137860691664896,3031413449,nsw australia,
72524,1419138103713820674,377314216,nsw australia,
72525,1419138500977303559,3031413449,nsw australia,
72526,1419138853235920906,606746297,central coast nsw,
72530,1419141543496015873,835809553589526530,central coast nsw,
72531,1419142762260312074,2959081592,central coast nsw,
72532,1419142783692992514,958993013702709249,central coast nsw,
72533,1419142859140202496,958993013702709249,central coast nsw,
72535,1419143215022673920,958993013702709249,central coast nsw,
72537,1419143537350778881,835809553589526530,central coast nsw,
72540,1419145068603068418,3818993052,nsw australia,
72542,1419145233569173513,558259110,nsw australia,
72544,1419145306705326084,3818993052,nsw australia,
72545,1419145448254840841,990989558,central coast nsw,
72548,1419146376710037506,1008296232261783552,nsw australia,
72549,1419147057911062529,833088036757925888,nsw australia,
72550,1419147077913759745,2748779875,nsw australia,
72551,1419147248764538880,833088036757925888,nsw australia,
72552,1419147312455061504,833088036757925888,nsw australia,
72554,1419148417373130754,3818993052,nsw australia,
72555,1419149602524045312,250319135,nsw australia,
72556,1419150061422841856,260670351,central coast nsw,
72557,1419150133875249156,353114647,central coast nsw,
72558,1419150386384887813,260670351,central coast nsw,
72559,1419150772445454336,22614013,central coast nsw,
72561,1419152202887614468,1299949931034107904,nsw australia,
72564,1419160550475452417,990989558,central coast nsw,
72565,1419162765097275392,198395078,central coast nsw,
72568,1419166046297071621,15304375,nsw australia,
72569,1419167075256324096,1158755742,nsw australia,
72570,1419167731996233728,1008296232261783552,nsw australia,
72571,1419167799495172100,1008296232261783552,nsw australia,
72572,1419168088168173573,1008296232261783552,nsw australia,
72573,1419168615991939076,1008296232261783552,nsw australia,
72574,1419168657393917958,2229671299,nsw australia,
72575,1419168937736953865,1008296232261783552,nsw australia,
72576,1419168971325018116,519356365,central coast nsw,
72577,1419169244277710848,850130763446013952,nsw australia,
72578,1419169314968535045,1008296232261783552,nsw australia,
72579,1419169536046092291,473696731,central coast nsw,
72580,1419170376056119302,850130763446013952,nsw australia,
72581,1419171541229531139,835809553589526530,central coast nsw,
72582,1419172573653323778,377314216,nsw australia,
72583,1419173686230192128,377314216,nsw australia,
72584,1419173842858119168,1299949931034107904,nsw australia,
72585,1419174439992717321,15304375,nsw australia,
72588,1419175650871717894,990989558,central coast nsw,
72589,1419177392891850759,835809553589526530,central coast nsw,
72590,1419178842372022280,2748779875,nsw australia,
72593,1419181104800567301,958993013702709249,central coast nsw,
72594,1419182258271916033,835809553589526530,central coast nsw,
72595,1419182442380873730,2383141,nsw australia,
72597,1419183066573012993,835809553589526530,central coast nsw,
72600,1419183197842116611,2383141,nsw australia,
72602,1419184360771657731,958993013702709249,central coast nsw,
72604,1419185112218890243,992866944,nsw australia,
72605,1419185856678535172,1008296232261783552,nsw australia,
72607,1419186454182326272,2748779875,nsw australia,
72608,1419186675196915712,1008296232261783552,nsw australia,
72611,1419190396161118209,381855245,blue mountains nsw,
72613,1419190749384560647,990989558,central coast nsw,
72614,1419190842468671494,1008296232261783552,nsw australia,
72615,1419191132957773831,1008296232261783552,nsw australia,
72616,1419191684030623745,820125519127539712,nsw australia,
72618,1419192307950100480,1286491791974256641,nsw australia,
72621,1419193524575039496,1896216296,central coast nsw,
72623,1419194221202874370,1158755742,nsw australia,
72624,1419195589049286657,2383141,nsw australia,
72625,1419197588692082692,2383141,nsw australia,
72626,1419198707346460676,2383141,nsw australia,
72627,1419199297514471426,2383141,nsw australia,
72628,1419199799182516225,1385781113709158400,nsw australia,
72629,1419200157543849985,1385781113709158400,nsw australia,
72630,1419201075865817088,2684575452,nsw australia,
72631,1419201252534099976,1385781113709158400,nsw australia,
72632,1419202107874299912,202008104,central coast nsw,
72633,1419202923955843073,2684575452,nsw australia,
72634,1419203576774098951,1385781113709158400,nsw australia,
72636,1419204996227211264,381855245,blue mountains nsw,
72637,1419205846551126018,990989558,central coast nsw,
72638,1419207274967437312,795500558551388160,nsw australia,
72639,1419207279161663492,2383141,nsw australia,
72640,1419208013139746816,192191745,central coast nsw,
72641,1419208900683862017,494632706,nsw australia,
72642,1419210266298912769,2987998513,nsw australia,
72643,1419210284346974211,2383141,nsw australia,
72645,1419211250504912900,2383141,nsw australia,
72646,1419211814101868545,835809553589526530,central coast nsw,
72647,1419212256441552903,2383141,nsw australia,
72648,1419212627457183747,1299949931034107904,nsw australia,
72649,1419214179156729860,835809553589526530,central coast nsw,
72650,1419214755659612161,835809553589526530,central coast nsw,
72651,1419216177813876738,1158755742,nsw australia,
72652,1419216252753510402,1368099822914338817,nsw australia,
72653,1419216957539176448,835809553589526530,central coast nsw,
72655,1419217717265985538,2216519718,central coast nsw,
72657,1419218217038319619,2216519718,central coast nsw,
72658,1419218251175776266,35621956,central coast nsw,
72659,1419219218650726402,2216519718,central coast nsw,
72660,1419219248379949057,31600048,nsw australia,
72661,1419219386041126917,2216519718,central coast nsw,
72662,1419219397248307204,1158755742,nsw australia,
72663,1419219435961733121,1362692163230789637,central coast nsw,
72664,1419220228798435330,43616914,nsw australia,
72665,1419220949006757891,990989558,central coast nsw,
72666,1419222753933021188,1008296232261783552,nsw australia,
72667,1419223014424543234,16198171,central coast nsw,
72669,1419224487464259587,860726148388356096,central coast nsw,
72670,1419227222867550210,288514034,nsw australia,
72671,1419228015217676291,2216519718,central coast nsw,
72674,1419228751787823104,28888724,nsw australia,
72681,1419232409053130752,2748779875,nsw australia,
72682,1419233017080336391,1299949931034107904,nsw australia,
72683,1419234915976040450,1604473375,nsw australia,
72684,1419235107131379718,535184400,central coast nsw,
72685,1419235546518343681,820125519127539712,nsw australia,
72686,1419236047007924224,990989558,central coast nsw,
72687,1419237781813927937,43616914,nsw australia,
72688,1419238521982750726,251566970,nsw australia,
72689,1419238616832774147,1299949931034107904,nsw australia,
72690,1419239430469029891,984447324,nsw australia,
72691,1419239501688307714,129130205,central coast nsw,
72692,1419239906899947525,5774252,central coast nsw,
72693,1419240245078360064,984447324,nsw australia,
72697,1419241531114807297,958993013702709249,central coast nsw,
72698,1419241962939424768,30827668,nsw australia,
72699,1419242268918108172,1295982058502676480,nsw australia,
72701,1419243654531665924,40606424,central coast nsw,
72702,1419243853010259974,958993013702709249,central coast nsw,
72705,1419244502632468484,1008296232261783552,nsw australia,
72707,1419244908443947014,40606424,central coast nsw,
72709,1419245036730867713,1008296232261783552,nsw australia,
72710,1419245871963590661,377314216,nsw australia,
72711,1419246082526126084,1008296232261783552,nsw australia,
72712,1419246302815129604,1008296232261783552,nsw australia,
72713,1419246529626337281,958993013702709249,central coast nsw,
72714,1419246552510439427,1008296232261783552,nsw australia,
72715,1419246603609600003,958993013702709249,central coast nsw,
72716,1419247195619045376,1008296232261783552,nsw australia,
72717,1419247505963851781,1008296232261783552,nsw australia,
72718,1419247881832210433,707004931,nsw australia,
72719,1419249010573934592,9493572,nsw australia,
72720,1419249581905219590,441207483,blue mountains nsw,
72721,1419249671470342152,3756014114,blue mountains nsw,
72722,1419251146317832193,990989558,central coast nsw,
72723,1419251585155141640,770037903552544770,nsw australia,
72724,1419252732737642497,3756014114,blue mountains nsw,
72725,1419253103879016450,1008296232261783552,nsw australia,
72726,1419253330715418626,3756014114,blue mountains nsw,
72727,1419254929458229257,975460352,central coast nsw,
72728,1419256251532283906,377314216,nsw australia,
72729,1419256298097418246,3756014114,blue mountains nsw,
72731,1419257975676444673,1008296232261783552,nsw australia,
72732,1419258165707689985,1918976136,central coast nsw,
72733,1419258769695858691,3756014114,blue mountains nsw,
72734,1419260442497589250,519356365,central coast nsw,
72735,1419260444921925632,519356365,central coast nsw,
72736,1419260446457036806,519356365,central coast nsw,
72737,1419260577008918532,377314216,nsw australia,
72738,1419262925991137281,3756014114,blue mountains nsw,
72739,1419264256344690688,833088036757925888,nsw australia,
72740,1419264397755654146,833088036757925888,nsw australia,
72741,1419265708303654926,3756014114,blue mountains nsw,
72742,1419266245489307652,990989558,central coast nsw,
72743,1419267436973477894,2312989742,nsw australia,
72744,1419269287861096455,2312989742,nsw australia,
72745,1419270376232603649,958993013702709249,central coast nsw,
72746,1419270769067057153,24622376,central coast nsw,
72747,1419271222244757506,3756014114,blue mountains nsw,
72748,1419271927969943552,330816702,nsw australia,
72749,1419272055237738502,519356365,central coast nsw,
72750,1419272475062390784,1362692163230789637,central coast nsw,
72751,1419273090052333570,38178558,perisher village nsw,
72752,1419275143923175429,1017889549941264385,central coast nsw,
72753,1419275482839666691,1362692163230789637,central coast nsw,
72754,1419278089901666306,377314216,nsw australia,
72755,1419278548049678338,377314216,nsw australia,
72756,1419281346078326784,990989558,central coast nsw,
72757,1419283736005267470,381855245,blue mountains nsw,
72758,1419286652359385089,30827668,nsw australia,
72759,1419294176756129793,829248815005827073,nsw australia,
72760,1419295152003112961,22614013,central coast nsw,
72761,1419296443999956998,990989558,central coast nsw,
72762,1419297543423283201,255369574,nsw australia,
72763,1419298778423521284,1008296232261783552,nsw australia,
72764,1419298880802332674,1008296232261783552,nsw australia,
72765,1419300796252884993,377314216,nsw australia,
72766,1419304915407577088,226175896,central coast nsw,
72767,1419305214532747266,377314216,nsw australia,
72768,1419311546187108359,990989558,central coast nsw,
72769,1419325954824892419,1381623170,central coast nsw,
72770,1419332509028950018,1381623170,central coast nsw,
72771,1419337603334033411,286004694,nsw australia,
72772,1419339883869470721,1133678955884666880,nsw australia,
72773,1419346172955684868,56233743,central coast nsw,
72774,1419351240501129216,1378483406992928769,nsw australia,
72775,1419380914434445314,1008296232261783552,nsw australia,
72776,1419383879132073986,1008296232261783552,nsw australia,
72777,1419384077250023426,1008296232261783552,nsw australia,
72778,1419384144115630080,1008296232261783552,nsw australia,
72779,1419384479848693760,1008296232261783552,nsw australia,
72780,1419385124387397632,1008296232261783552,nsw australia,
72781,1419385462817390593,3309070314,nsw australia,
72782,1419385481314193408,1507457857,nsw australia,
72783,1419385984177770507,1008296232261783552,nsw australia,
72784,1419386378639474688,707004931,nsw australia,
72785,1419386407567564801,1008296232261783552,nsw australia,
72786,1419386785470181377,1008296232261783552,nsw australia,
72787,1419388251018711040,1008296232261783552,nsw australia,
72788,1419388474268938240,1008296232261783552,nsw australia,
72789,1419388643974664199,1008296232261783552,nsw australia,
72790,1419389013572554754,1008296232261783552,nsw australia,
72791,1419389534211510272,1008296232261783552,nsw australia,
72792,1419393645120131074,1008296232261783552,nsw australia,
72793,1419397109556547587,2326431938,central coast nsw,
72794,1419397370635165699,1549721120,nsw australia,
72795,1419398427582992385,3818993052,nsw australia,
72796,1419398926742876163,17929934,nsw australia,
72797,1419404709454962692,958993013702709249,central coast nsw,
72798,1419404724579618816,1008296232261783552,nsw australia,
72799,1419404901776453632,958993013702709249,central coast nsw,
72800,1419407524181123073,558259110,nsw australia,
72801,1419407939702386692,958993013702709249,central coast nsw,
72802,1419409972887113730,558259110,nsw australia,
72803,1419411077448699907,558259110,nsw australia,
72804,1419411171703066625,3022979040,nsw australia,
72805,1419411254951571459,558259110,nsw australia,
72806,1419412822665138176,311935066,central coast nsw,
72807,1419413016324440066,623366203,nsw australia,
72808,1419416233452085249,770037903552544770,nsw australia,
72809,1419416534716325891,623366203,nsw australia,
72810,1419417243180470274,990989558,central coast nsw,
72811,1419418237003976706,958993013702709249,central coast nsw,
72812,1419419765584527362,35621956,central coast nsw,
72813,1419420228690219015,835809553589526530,central coast nsw,
72814,1419421504958132224,958993013702709249,central coast nsw,
72815,1419421850052874244,2312989742,nsw australia,
72816,1419422311057219585,5774252,central coast nsw,
72817,1419422656080670721,35621956,central coast nsw,
72819,1419425076189962241,623366203,nsw australia,
72820,1419425244545097728,835809553589526530,central coast nsw,
72821,1419425386140606464,5774252,central coast nsw,
72822,1419426854155390976,3756014114,blue mountains nsw,
72823,1419427431933304835,35621956,central coast nsw,
72825,1419428785858879493,878483332010463232,nsw australia,
